date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:57:49	298462/298462	---M-Z	200	added ('OK')	text/html	etag:%2236014-1702138881;gz%22	https://inposdom.gob.do/	C:/My%20Web%20Sites/Final%20ssa/inposdom.gob.do/index.html	(from )
15:57:49	129/129	---M-Z	200	added ('OK')	text/plain	etag:%2235872-1702089078;gz%22	https://inposdom.gob.do/robots.txt		(from )
15:57:49	693/693	---M-Z	200	added ('OK')	text/css	date:Fri,%2028%20Jan%202022%2013:26:07%20GMT	https://inposdom.gob.do/wp-content/plugins/gtranslate/gtranslate-style24.css?ver=6.4.2	C:/My%20Web%20Sites/Final%20ssa/inposdom.gob.do/wp-content/plugins/gtranslate/gtranslate-style241e39.css	(from https://inposdom.gob.do/)
15:57:50	12285/12285	---M-Z	200	added ('OK')	text/css	date:Wed,%2031%20May%202023%2016:00:56%20GMT	https://inposdom.gob.do/wp-content/themes/hello-elementor/theme.min.css?ver=2.7.1	C:/My%20Web%20Sites/Final%20ssa/inposdom.gob.do/wp-content/themes/hello-elementor/theme.min653d.css	(from https://inposdom.gob.do/)
15:57:50	11464/11464	---MCZ	200	added ('OK')	application/rss+xml	etag:%228c8f91a92134f85e5a248b748436ef99%22	https://inposdom.gob.do/feed/	C:/My%20Web%20Sites/Final%20ssa/inposdom.gob.do/feed/index.html	(from https://inposdom.gob.do/)
15:57:50	740/740	---M-Z	200	added ('OK')	application/rss+xml	etag:%228c8f91a92134f85e5a248b748436ef99%22	https://inposdom.gob.do/comments/feed/	C:/My%20Web%20Sites/Final%20ssa/inposdom.gob.do/comments/feed/index.html	(from https://inposdom.gob.do/)
15:57:50	9921/9921	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jul%202023%2002:23:24%20GMT	https://inposdom.gob.do/wp-content/plugins/elementor/assets/css/frontend-legacy.min.css?ver=3.14.1	C:/My%20Web%20Sites/Final%20ssa/inposdom.gob.do/wp-content/plugins/elementor/assets/css/frontend-legacy.mina1c3.css	(from https://inposdom.gob.do/)
15:57:50	157039/157039	---M-Z	200	added ('OK')	text/css	date:Tue,%2004%20Jul%202023%2002:23:24%20GMT	https://inposdom.gob.do/wp-content/plugins/elementor/assets/css/frontend.min.css?ver=3.14.1	C:/My%20Web%20Sites/Final%20ssa/inposdom.gob.do/wp-content/plugins/elementor/assets/css/frontend.mina1c3.css	(from https://inposdom.gob.do/)
15:57:51	3443/3443	---M-Z	200	added ('OK')	text/css	date:Wed,%2006%20Dec%202023%2003:30:05%20GMT	https://inposdom.gob.do/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min.css?ver=5.9	C:/My%20Web%20Sites/Final%20ssa/inposdom.gob.do/wp-content/plugins/essential-addons-for-elementor-lite/assets/front-end/css/view/general.min271b.css	(from https://inposdom.gob.do/)
15:57:51	5085/5085	---M-Z	200	added ('OK')	text/css	date:Wed,%2006%20Dec%202023%2003:30:11%20GMT	https://inposdom.gob.do/wp-content/uploads/essential-addons-elementor/eael-5101.css?ver=1702046039	C:/My%20Web%20Sites/Final%20ssa/inposdom.gob.do/wp-content/uploads/essential-addons-elementor/eael-51019ce7.css	(from https://inposdom.gob.do/)
